Modèle,RMSE,MAE,R²
KNEIGHBORS,2555.0585061867864,156.36704119850188,0.9994534023812627
GRADIENT_BOOSTING,2555.0732061274143,163.08679304640165,0.9994533960917976
RANDOM_FOREST,2562.730116497265,198.51556387848547,0.9994501151147491
MLP,44384.11211362442,26930.720672671894,0.8350618534787027
RIDGE,51911.11790850293,33430.0869206351,0.774375217736252
SVR,94909.89067897366,65441.24530758332,0.245795736049794
